Dataset,#TrainingRelease,%Training,%Defective in training,%Defective in testing,Classifier,Balancing,Feature Selection,Sensitivity,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
AVRO,1,0.449438202247191,0.0,0.2755102040816326,RANDOM FOREST,NO,NO,NO,0,0,71,27,NaN,0.0,0.5,0.0
AVRO,2,0.6334519572953736,0.15168539325842698,0.02912621359223301,RANDOM FOREST,NO,NO,NO,1,0,100,2,1.0,0.3333333333333333,0.8033333333333333,0.49261083743842343
AVRO,3,0.48700173310225303,0.10676156583629894,0.12162162162162163,RANDOM FOREST,NO,NO,NO,0,0,260,36,NaN,0.0,0.8727029914529915,0.0
AVRO,4,0.7850340136054422,0.11438474870017332,0.06329113924050633,RANDOM FOREST,NO,NO,NO,0,2,146,10,0.0,0.0,0.7398648648648649,-0.021551724137930238
AVRO,5,0.8221476510067114,0.10340136054421768,0.018867924528301886,RANDOM FOREST,NO,NO,NO,0,0,156,3,NaN,0.0,0.7777777777777778,0.0
AVRO,6,0.6701649175412294,0.0883668903803132,0.0,RANDOM FOREST,NO,NO,NO,0,0,440,0,NaN,NaN,NaN,1.0
AVRO,7,0.8496815286624204,0.05922038980509745,0.9576271186440678,RANDOM FOREST,NO,NO,NO,5,0,10,221,1.0,0.022123893805309734,0.4827433628318584,0.0019136558481322697
AVRO,8,0.8678828081813157,0.1942675159235669,0.04602510460251046,RANDOM FOREST,NO,NO,NO,11,226,2,0,0.046413502109704644,1.0,0.7192982456140351,8.13940582337496E-4
AVRO,9,0.7737382378100941,0.17468214483139857,0.08506616257088846,RANDOM FOREST,NO,NO,NO,0,0,484,45,NaN,0.0,0.9577364554637282,0.0
AVRO,10,0.8968162639048715,0.1544054747647562,0.09665427509293681,RANDOM FOREST,NO,NO,NO,2,31,212,24,0.06060606060606061,0.07692307692307693,0.7894903450459007,-0.045213705404450806
AVRO,11,0.9036395147313692,0.14844649021864212,0.014388489208633094,RANDOM FOREST,NO,NO,NO,3,2,272,1,0.6,0.75,0.9562043795620438,0.6612510154346052
AVRO,12,0.908375314861461,0.13552859618717505,0.013745704467353952,RANDOM FOREST,NO,NO,NO,0,4,283,4,0.0,0.0,0.8893728222996515,-0.013937282229966085
AVRO,13,0.9160657629074127,0.12437027707808564,0.006872852233676976,RANDOM FOREST,NO,NO,NO,0,0,289,2,NaN,0.0,0.9792387543252595,0.0
AVRO,14,0.9169531869875694,0.11450822036342659,0.2070063694267516,RANDOM FOREST,NO,NO,NO,6,0,249,59,1.0,0.09230769230769231,0.939697250540624,0.13888630659105738
AVRO,15,0.9233211233211234,0.12218989685268447,0.025477707006369428,RANDOM FOREST,NO,NO,NO,0,0,306,8,NaN,0.0,0.9019607843137255,0.0
AVRO,16,0.9285714285714286,0.11477411477411477,0.11746031746031746,RANDOM FOREST,NO,NO,NO,19,5,273,18,0.7916666666666666,0.5135135135135135,0.956348434765701,0.5845518665061072
AVRO,1,0.449438202247191,0.0,0.2755102040816326,NAIVE BAYES,NO,NO,NO,0,7,64,27,0.0,0.0,0.4507042253521127,-0.12796208530805725
AVRO,2,0.6334519572953736,0.15168539325842698,0.02912621359223301,NAIVE BAYES,NO,NO,NO,0,0,100,3,NaN,0.0,0.8866666666666667,0.0
AVRO,3,0.48700173310225303,0.10676156583629894,0.12162162162162163,NAIVE BAYES,NO,NO,NO,4,1,259,32,0.8,0.1111111111111111,0.6159722222222223,0.17051630434782575
AVRO,4,0.7850340136054422,0.11438474870017332,0.06329113924050633,NAIVE BAYES,NO,NO,NO,0,18,130,10,0.0,0.0,0.6898648648648649,-0.08858267716535378
AVRO,5,0.8221476510067114,0.10340136054421768,0.018867924528301886,NAIVE BAYES,NO,NO,NO,1,7,149,2,0.125,0.3333333333333333,0.43803418803418803,0.15873015873015908
AVRO,6,0.6701649175412294,0.0883668903803132,0.0,NAIVE BAYES,NO,NO,NO,0,0,440,0,NaN,NaN,NaN,1.0
AVRO,7,0.8496815286624204,0.05922038980509745,0.9576271186440678,NAIVE BAYES,NO,NO,NO,30,0,10,196,1.0,0.13274336283185842,0.7553097345132743,0.012805190370496843
AVRO,8,0.8678828081813157,0.1942675159235669,0.04602510460251046,NAIVE BAYES,NO,NO,NO,11,79,149,0,0.12222222222222222,1.0,0.9405901116427432,0.1479308633061057
AVRO,9,0.7737382378100941,0.17468214483139857,0.08506616257088846,NAIVE BAYES,NO,NO,NO,38,49,435,7,0.4367816091954023,0.8444444444444444,0.9579430670339761,0.5221781347785411
AVRO,10,0.8968162639048715,0.1544054747647562,0.09665427509293681,NAIVE BAYES,NO,NO,NO,26,45,198,0,0.36619718309859156,1.0,0.9143716365938588,0.4596223382884694
AVRO,11,0.9036395147313692,0.14844649021864212,0.014388489208633094,NAIVE BAYES,NO,NO,NO,2,31,243,2,0.06060606060606061,0.5,0.8686131386861314,0.08461384953103179
AVRO,12,0.908375314861461,0.13552859618717505,0.013745704467353952,NAIVE BAYES,NO,NO,NO,2,31,256,2,0.06060606060606061,0.5,0.9028745644599303,0.08568980291345282
AVRO,13,0.9160657629074127,0.12437027707808564,0.006872852233676976,NAIVE BAYES,NO,NO,NO,1,3,286,1,0.25,0.5,0.9896193771626297,0.32716763005780486
AVRO,14,0.9169531869875694,0.11450822036342659,0.2070063694267516,NAIVE BAYES,NO,NO,NO,29,18,231,36,0.6170212765957447,0.4461538461538462,0.8813407476058078,0.41647739004749135
AVRO,15,0.9233211233211234,0.12218989685268447,0.025477707006369428,NAIVE BAYES,NO,NO,NO,2,12,294,6,0.14285714285714285,0.25,0.9150326797385621,0.15439856373429106
AVRO,16,0.9285714285714286,0.11477411477411477,0.11746031746031746,NAIVE BAYES,NO,NO,NO,18,22,256,19,0.45,0.4864864864864865,0.9141065525957612,0.3935196055412071
AVRO,1,0.449438202247191,0.0,0.2755102040816326,IBK,NO,NO,NO,0,0,71,27,NaN,0.0,0.647887323943662,0.0
AVRO,2,0.6334519572953736,0.15168539325842698,0.02912621359223301,IBK,NO,NO,NO,1,25,75,2,0.038461538461538464,0.3333333333333333,0.5483333333333333,0.01766160367361344
AVRO,3,0.48700173310225303,0.10676156583629894,0.12162162162162163,IBK,NO,NO,NO,15,17,243,21,0.46875,0.4166666666666667,0.6423076923076924,0.3689407540394972
AVRO,4,0.7850340136054422,0.11438474870017332,0.06329113924050633,IBK,NO,NO,NO,0,1,147,10,0.0,0.0,0.4966216216216216,-0.011641443539000028
AVRO,5,0.8221476510067114,0.10340136054421768,0.018867924528301886,IBK,NO,NO,NO,1,9,147,2,0.1,0.3333333333333333,0.6378205128205128,0.12855007473841562
AVRO,6,0.6701649175412294,0.0883668903803132,0.0,IBK,NO,NO,NO,0,3,437,0,0.0,NaN,NaN,0.0
AVRO,7,0.8496815286624204,0.05922038980509745,0.9576271186440678,IBK,NO,NO,NO,22,0,10,204,1.0,0.09734513274336283,0.5199115044247787,0.009056479499423677
AVRO,8,0.8678828081813157,0.1942675159235669,0.04602510460251046,IBK,NO,NO,NO,10,223,5,1,0.04291845493562232,0.9090909090909091,0.4655103668261563,-0.006504982139499909
AVRO,9,0.7737382378100941,0.17468214483139857,0.08506616257088846,IBK,NO,NO,NO,10,259,225,35,0.03717472118959108,0.2222222222222222,0.3421717171717172,-0.0960562665614252
AVRO,10,0.8968162639048715,0.1544054747647562,0.09665427509293681,IBK,NO,NO,NO,2,43,200,24,0.044444444444444446,0.07692307692307693,0.4499841722063944,-0.07542216122680367
AVRO,11,0.9036395147313692,0.14844649021864212,0.014388489208633094,IBK,NO,NO,NO,3,23,251,1,0.11538461538461539,0.75,0.8334854014598541,0.17953762911952736
AVRO,12,0.908375314861461,0.13552859618717505,0.013745704467353952,IBK,NO,NO,NO,0,5,282,4,0.0,0.0,0.4912891986062718,-0.015509887553313503
AVRO,13,0.9160657629074127,0.12437027707808564,0.006872852233676976,IBK,NO,NO,NO,0,1,288,2,0.0,0.0,0.4982698961937716,-0.004602991944765778
AVRO,14,0.9169531869875694,0.11450822036342659,0.2070063694267516,IBK,NO,NO,NO,11,10,239,54,0.5238095238095238,0.16923076923076924,0.5695396972505407,0.1721183158935489
AVRO,15,0.9233211233211234,0.12218989685268447,0.025477707006369428,IBK,NO,NO,NO,0,9,297,8,0.0,0.0,0.4852941176470588,-0.027724297266075084
AVRO,16,0.9285714285714286,0.11477411477411477,0.11746031746031746,IBK,NO,NO,NO,15,50,228,22,0.23076923076923078,0.40540540540540543,0.6127746451487459,0.169838945827233
AVRO,1,0.449438202247191,0.0,0.2755102040816326,RANDOM FOREST,NO,NO,SENSITIVE THRESHOLD,0,0,71,27,NaN,0.0,0.5,0.0
AVRO,2,0.6334519572953736,0.15168539325842698,0.02912621359223301,RANDOM FOREST,NO,NO,SENSITIVE THRESHOLD,0,0,100,3,NaN,0.0,0.5,0.0
AVRO,3,0.48700173310225303,0.10676156583629894,0.12162162162162163,RANDOM FOREST,NO,NO,SENSITIVE THRESHOLD,0,0,260,36,NaN,0.0,0.5,0.0
AVRO,4,0.7850340136054422,0.11438474870017332,0.06329113924050633,RANDOM FOREST,NO,NO,SENSITIVE THRESHOLD,0,0,148,10,NaN,0.0,0.5,0.0
AVRO,5,0.8221476510067114,0.10340136054421768,0.018867924528301886,RANDOM FOREST,NO,NO,SENSITIVE THRESHOLD,0,0,156,3,NaN,0.0,0.5,0.0
AVRO,6,0.6701649175412294,0.0883668903803132,0.0,RANDOM FOREST,NO,NO,SENSITIVE THRESHOLD,0,0,440,0,NaN,NaN,NaN,1.0
AVRO,7,0.8496815286624204,0.05922038980509745,0.9576271186440678,RANDOM FOREST,NO,NO,SENSITIVE THRESHOLD,0,0,10,226,NaN,0.0,0.5,0.0
