Dataset,#TrainingRelease,%Training,%Defective in training,%Defective in testing,Classifier,Balancing,Feature Selection,Sensitivity,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
BOOKKEEPER,1,0.49834437086092714,0.0,0.3465346534653465,RANDOM FOREST,NO,NO,NO,0,0,198,105,NaN,0.0,0.5,0.0
BOOKKEEPER,2,0.5650140318054256,0.173841059602649,0.06236559139784946,RANDOM FOREST,NO,NO,NO,14,4,432,15,0.7777777777777778,0.4827586206896552,0.9027206580196141,0.5754648983710534
BOOKKEEPER,3,0.6439759036144578,0.1253507951356408,0.10152284263959391,RANDOM FOREST,NO,NO,NO,19,7,524,41,0.7307692307692307,0.31666666666666665,0.9366603892027621,0.40535781662683945
BOOKKEEPER,4,0.7283896445809566,0.11686746987951807,0.7253634894991923,RANDOM FOREST,NO,NO,NO,48,0,170,401,1.0,0.10690423162583519,0.4221276038254946,0.06169222685501943
BOOKKEEPER,1,0.49834437086092714,0.0,0.3465346534653465,NAIVE BAYES,NO,NO,NO,1,1,197,104,0.5,0.009523809523809525,0.3154160654160654,0.005812318365051087
BOOKKEEPER,2,0.5650140318054256,0.173841059602649,0.06236559139784946,NAIVE BAYES,NO,NO,NO,2,2,434,27,0.5,0.06896551724137931,0.44570547295159757,0.10772182888903524
BOOKKEEPER,3,0.6439759036144578,0.1253507951356408,0.10152284263959391,NAIVE BAYES,NO,NO,NO,8,1,530,52,0.8888888888888888,0.13333333333333333,0.7706528562460766,0.21098768230937806
BOOKKEEPER,4,0.7283896445809566,0.11686746987951807,0.7253634894991923,NAIVE BAYES,NO,NO,NO,194,91,79,255,0.6807017543859649,0.43207126948775054,0.4121053321105725,-0.07941899846786551
BOOKKEEPER,1,0.49834437086092714,0.0,0.3465346534653465,IBK,NO,NO,NO,0,0,198,105,NaN,0.0,0.5052669552669553,0.0
BOOKKEEPER,2,0.5650140318054256,0.173841059602649,0.06236559139784946,IBK,NO,NO,NO,17,90,346,12,0.1588785046728972,0.5862068965517241,0.6825767162290415,0.16839078444436664
